case;event;time;org:resource_Event;AMOUNT_REQ_Trace
0;0;01.10.2011-09:45:13;0;0.2000020000200002
0;1;01.10.2011-10:17:08;0;0.2000020000200002
0;1;08.10.2011-14:32:00;1;0.2000020000200002
0;1;10.10.2011-09:33:05;2;0.2000020000200002
0;2;13.10.2011-08:37:37;3;0.2000020000200002
1;0;01.10.2011-09:43:13;0;0.05000050000500005
1;0;01.10.2011-12:35:48;0;0.05000050000500005
1;1;01.10.2011-12:36:25;0;0.05000050000500005
1;1;03.10.2011-14:56:21;0;0.05000050000500005
1;1;03.10.2011-14:57:16;0;0.05000050000500005
1;1;10.10.2011-08:14:45;2;0.05000050000500005
1;2;10.10.2011-09:30:54;4;0.05000050000500005
1;2;10.10.2011-12:14:13;4;0.05000050000500005
1;2;10.10.2011-12:17:34;4;0.05000050000500005
2;0;01.10.2011-09:35:59;5;0.07000070000700007
2;0;03.10.2011-09:21:22;0;0.07000070000700007
2;0;03.10.2011-11:32:43;6;0.07000070000700007
2;0;03.10.2011-11:40:17;6;0.07000070000700007
2;1;03.10.2011-11:44:21;6;0.07000070000700007
2;1;10.10.2011-14:47:18;0;0.07000070000700007
2;1;10.10.2011-17:34:36;7;0.07000070000700007
2;1;14.10.2011-16:16:42;5;0.07000070000700007
2;1;17.10.2011-17:43:57;8;0.07000070000700007
2;1;25.10.2011-08:50:48;0;0.07000070000700007
2;1;26.10.2011-16:50:22;9;0.07000070000700007
2;1;29.10.2011-10:41:29;10;0.07000070000700007
2;1;01.11.2011-13:55:35;11;0.07000070000700007
2;1;01.11.2011-16:21:02;7;0.07000070000700007
2;1;02.11.2011-08:15:18;2;0.07000070000700007
2;2;04.11.2011-15:05:01;12;0.07000070000700007
3;0;01.10.2011-09:40:24;5;0.13500135001350014
3;0;01.10.2011-11:02:12;5;0.13500135001350014
4;3;01.10.2011-08:16:49;5;0.18000180001800017
4;0;01.10.2011-09:50:14;5;0.18000180001800017
4;0;01.10.2011-09:53:55;5;0.18000180001800017
4;0;01.10.2011-13:00:02;0;0.18000180001800017
5;0;01.10.2011-08:27:07;5;0.11000110001100011
5;0;01.10.2011-09:43:02;5;0.11000110001100011
5;0;10.10.2011-15:43:13;13;0.11000110001100011
5;0;01.11.2011-08:15:08;13;0.11000110001100011
6;3;01.10.2011-08:10:25;5;0.3000030000300003
6;0;01.10.2011-11:03:35;14;0.3000030000300003
6;0;03.10.2011-09:17:29;15;0.3000030000300003
6;0;03.10.2011-12:42:55;15;0.3000030000300003
7;0;01.10.2011-09:46:06;0;0.4500045000450005
7;0;01.10.2011-10:30:24;5;0.4500045000450005
7;1;08.10.2011-14:38:17;1;0.4500045000450005
7;1;10.10.2011-10:54:04;16;0.4500045000450005
7;2;13.10.2011-09:05:28;17;0.4500045000450005
8;0;01.10.2011-08:44:43;0;0.15000150001500015
8;1;01.10.2011-08:44:58;0;0.15000150001500015
8;1;01.10.2011-08:46:56;0;0.15000150001500015
8;1;01.10.2011-08:50:20;0;0.15000150001500015
8;1;01.10.2011-08:50:34;0;0.15000150001500015
8;1;08.10.2011-14:31:37;18;0.15000150001500015
8;1;10.10.2011-08:55:07;2;0.15000150001500015
8;2;13.10.2011-10:36:12;3;0.15000150001500015
8;4;13.10.2011-11:05:42;0;0.15000150001500015
8;4;13.10.2011-11:53:16;3;0.15000150001500015
8;4;13.10.2011-15:12:01;19;0.15000150001500015
8;4;13.10.2011-15:14:13;19;0.15000150001500015
8;4;13.10.2011-15:14:26;19;0.15000150001500015
8;4;15.10.2011-13:17:31;1;0.15000150001500015
8;4;15.10.2011-14:56:14;1;0.15000150001500015
8;4;17.10.2011-11:32:51;0;0.15000150001500015
8;4;17.10.2011-12:28:36;0;0.15000150001500015
8;4;18.10.2011-14:46:24;20;0.15000150001500015
8;4;18.10.2011-15:46:34;18;0.15000150001500015
8;2;19.10.2011-06:53:21;21;0.15000150001500015
8;4;19.10.2011-07:17:01;0;0.15000150001500015
8;4;19.10.2011-07:24:19;0;0.15000150001500015
8;4;20.10.2011-07:30:32;2;0.15000150001500015
8;4;24.10.2011-13:24:55;22;0.15000150001500015
8;4;26.10.2011-06:12:38;0;0.15000150001500015
8;2;27.10.2011-07:18:01;21;0.15000150001500015
9;0;01.10.2011-09:20:50;23;0.09000090000900009
9;1;01.10.2011-09:22:52;23;0.09000090000900009
9;1;01.10.2011-09:32:54;23;0.09000090000900009
9;1;04.10.2011-12:47:39;0;0.09000090000900009
9;1;06.10.2011-07:49:47;0;0.09000090000900009
9;2;10.10.2011-08:06:09;12;0.09000090000900009
9;4;10.10.2011-08:20:04;5;0.09000090000900009
9;4;10.10.2011-09:42:32;5;0.09000090000900009
9;4;10.10.2011-12:22:14;0;0.09000090000900009
9;4;10.10.2011-14:28:29;24;0.09000090000900009
10;3;01.10.2011-10:12:27;5;0.15000150001500015
10;3;01.10.2011-10:20:55;23;0.15000150001500015
10;0;01.10.2011-11:27:08;5;0.15000150001500015
10;0;01.10.2011-12:02:01;0;0.15000150001500015
10;0;01.10.2011-13:15:17;25;0.15000150001500015
10;0;03.10.2011-09:33:42;0;0.15000150001500015
10;0;03.10.2011-13:48:20;6;0.15000150001500015
11;0;01.10.2011-11:55:31;5;0.15000150001500015
11;0;01.10.2011-13:15:12;9;0.15000150001500015
11;0;01.10.2011-13:31:19;9;0.15000150001500015
11;0;01.10.2011-13:40:12;9;0.15000150001500015
11;1;01.10.2011-13:48:39;9;0.15000150001500015
11;1;08.10.2011-14:20:20;1;0.15000150001500015
11;1;10.10.2011-18:49:26;0;0.15000150001500015
11;1;11.10.2011-08:47:04;0;0.15000150001500015
11;1;11.10.2011-17:55:07;26;0.15000150001500015
11;1;12.10.2011-13:37:20;15;0.15000150001500015
11;1;13.10.2011-16:35:43;15;0.15000150001500015
11;1;14.10.2011-08:21:10;0;0.15000150001500015
11;2;19.10.2011-11:20:05;4;0.15000150001500015
11;4;19.10.2011-11:32:57;0;0.15000150001500015
11;4;19.10.2011-11:36:44;0;0.15000150001500015
11;4;19.10.2011-17:11:47;19;0.15000150001500015
11;4;20.10.2011-06:10:36;0;0.15000150001500015
11;2;20.10.2011-08:08:56;21;0.15000150001500015
11;4;20.10.2011-08:27:48;27;0.15000150001500015
11;4;20.10.2011-08:45:06;0;0.15000150001500015
11;2;20.10.2011-10:00:47;21;0.15000150001500015
11;4;20.10.2011-10:32:33;27;0.15000150001500015
11;4;20.10.2011-11:52:22;21;0.15000150001500015
11;4;20.10.2011-14:25:42;2;0.15000150001500015
11;2;21.10.2011-04:15:05;21;0.15000150001500015
11;2;21.10.2011-07:05:10;4;0.15000150001500015
11;2;21.10.2011-07:08:21;21;0.15000150001500015
12;3;01.10.2011-12:54:56;23;0.06000060000600006
13;0;01.10.2011-13:40:09;14;0.15000150001500015
13;0;01.10.2011-13:55:45;9;0.15000150001500015
13;0;01.10.2011-14:05:28;9;0.15000150001500015
13;1;04.10.2011-10:59:22;13;0.15000150001500015
13;1;10.10.2011-11:34:00;16;0.15000150001500015
13;2;13.10.2011-08:49:09;17;0.15000150001500015
13;4;13.10.2011-09:03:37;0;0.15000150001500015
13;4;13.10.2011-09:06:33;0;0.15000150001500015
13;4;13.10.2011-09:08:21;0;0.15000150001500015
13;4;13.10.2011-09:36:55;27;0.15000150001500015
13;4;13.10.2011-10:16:30;0;0.15000150001500015
13;4;18.10.2011-08:20:38;0;0.15000150001500015
13;2;18.10.2011-10:01:37;4;0.15000150001500015
14;0;01.10.2011-13:27:27;25;0.1000010000100001
14;0;01.10.2011-13:42:01;0;0.1000010000100001
14;0;01.10.2011-13:56:43;25;0.1000010000100001
14;1;01.10.2011-14:00:21;25;0.1000010000100001
14;1;08.10.2011-13:32:48;25;0.1000010000100001
14;1;11.10.2011-08:19:14;0;0.1000010000100001
14;2;13.10.2011-11:12:26;12;0.1000010000100001
14;2;13.10.2011-13:04:19;3;0.1000010000100001
14;4;13.10.2011-18:01:47;23;0.1000010000100001
14;4;14.10.2011-08:06:41;14;0.1000010000100001
14;4;14.10.2011-11:19:58;0;0.1000010000100001
14;4;14.10.2011-11:37:05;0;0.1000010000100001
14;4;14.10.2011-12:05:18;25;0.1000010000100001
14;4;14.10.2011-13:49:18;0;0.1000010000100001
14;2;14.10.2011-14:22:55;3;0.1000010000100001
15;3;01.10.2011-12:56:22;23;0.06000060000600006
15;0;01.10.2011-13:50:01;0;0.06000060000600006
15;0;03.10.2011-10:56:17;15;0.06000060000600006
15;0;03.10.2011-13:55:10;6;0.06000060000600006
15;0;04.10.2011-09:35:15;27;0.06000060000600006
15;0;04.10.2011-11:26:21;28;0.06000060000600006
15;0;04.10.2011-15:27:09;19;0.06000060000600006
15;0;05.10.2011-07:32:15;15;0.06000060000600006
15;0;05.10.2011-11:28:37;0;0.06000060000600006
15;0;05.10.2011-16:14:09;0;0.06000060000600006
15;0;05.10.2011-16:53:18;0;0.06000060000600006
15;0;06.10.2011-08:00:04;6;0.06000060000600006
15;0;06.10.2011-18:54:12;15;0.06000060000600006
15;0;07.10.2011-16:34:58;10;0.06000060000600006
15;0;08.10.2011-08:51:27;1;0.06000060000600006
15;0;08.10.2011-09:30:22;10;0.06000060000600006
15;0;14.10.2011-13:52:09;0;0.06000060000600006
16;3;01.10.2011-13:21:27;23;0.02000020000200002
16;0;01.10.2011-13:58:47;0;0.02000020000200002
16;1;08.10.2011-10:45:59;25;0.02000020000200002
17;3;01.10.2011-13:24:17;23;0.05000050000500005
17;0;01.10.2011-13:57:08;23;0.05000050000500005
17;0;01.10.2011-13:57:18;23;0.05000050000500005
17;0;01.10.2011-14:00:29;0;0.05000050000500005
17;0;01.10.2011-14:09:35;14;0.05000050000500005
17;0;01.10.2011-14:37:33;7;0.05000050000500005
17;1;01.10.2011-14:39:20;7;0.05000050000500005
17;1;01.10.2011-14:42:18;7;0.05000050000500005
17;1;01.10.2011-14:48:25;7;0.05000050000500005
17;1;03.10.2011-14:44:24;29;0.05000050000500005
18;0;01.10.2011-13:34:03;25;0.1000010000100001
18;0;01.10.2011-14:50:03;0;0.1000010000100001
18;1;07.10.2011-10:40:20;16;0.1000010000100001
18;2;11.10.2011-08:39:37;17;0.1000010000100001
19;0;01.10.2011-13:44:41;25;0.2000020000200002
19;0;01.10.2011-14:00:04;23;0.2000020000200002
19;0;03.10.2011-10:57:19;15;0.2000020000200002
19;0;04.10.2011-07:28:25;0;0.2000020000200002
19;0;04.10.2011-11:23:24;29;0.2000020000200002
19;0;04.10.2011-15:57:28;28;0.2000020000200002
19;0;05.10.2011-07:52:18;15;0.2000020000200002
19;0;05.10.2011-11:52:14;0;0.2000020000200002
19;0;05.10.2011-16:39:11;10;0.2000020000200002
19;0;06.10.2011-07:59:11;11;0.2000020000200002
19;0;07.10.2011-07:18:19;0;0.2000020000200002
19;0;07.10.2011-16:41:57;10;0.2000020000200002
19;0;08.10.2011-09:12:22;10;0.2000020000200002
19;0;14.10.2011-11:51:42;4;0.2000020000200002
19;0;14.10.2011-11:52:59;4;0.2000020000200002
19;0;14.10.2011-12:26:30;4;0.2000020000200002
19;5;14.10.2011-12:26:59;4;0.2000020000200002
19;5;14.10.2011-12:28:41;4;0.2000020000200002
20;0;01.10.2011-14:01:45;14;0.32000320003200033
20;1;08.10.2011-10:34:58;0;0.32000320003200033
20;1;10.10.2011-17:52:09;7;0.32000320003200033
20;1;11.10.2011-09:01:39;2;0.32000320003200033
20;2;14.10.2011-13:41:11;21;0.32000320003200033
21;3;01.10.2011-14:38:43;23;0.04000040000400004
22;0;01.10.2011-14:45:56;14;0.02000020000200002
22;0;01.10.2011-14:48:23;9;0.02000020000200002
22;0;03.10.2011-11:48:25;15;0.02000020000200002
22;0;04.10.2011-07:34:40;0;0.02000020000200002
22;0;04.10.2011-11:11:09;27;0.02000020000200002
22;0;04.10.2011-15:17:33;19;0.02000020000200002
22;0;05.10.2011-07:20:40;15;0.02000020000200002
22;0;05.10.2011-08:42:52;0;0.02000020000200002
22;0;05.10.2011-12:05:43;0;0.02000020000200002
22;0;05.10.2011-16:50:58;10;0.02000020000200002
22;0;06.10.2011-07:58:22;0;0.02000020000200002
22;0;06.10.2011-18:52:12;15;0.02000020000200002
23;0;03.10.2011-07:20:05;0;0.1000010000100001
23;0;03.10.2011-08:38:04;1;0.1000010000100001
24;3;03.10.2011-07:04:57;0;0.1000010000100001
25;0;03.10.2011-07:25:12;15;0.015000150001500016
26;0;03.10.2011-07:19:46;0;0.05000050000500005
26;0;03.10.2011-12:36:50;0;0.05000050000500005
26;0;04.10.2011-08:01:30;0;0.05000050000500005
26;0;04.10.2011-11:41:55;27;0.05000050000500005
26;0;04.10.2011-15:15:04;22;0.05000050000500005
26;0;04.10.2011-15:15:24;22;0.05000050000500005
26;0;04.10.2011-15:19:49;19;0.05000050000500005
26;0;04.10.2011-15:37:29;19;0.05000050000500005
26;1;11.10.2011-18:42:59;13;0.05000050000500005
26;1;12.10.2011-14:47:33;15;0.05000050000500005
26;1;13.10.2011-16:50:05;13;0.05000050000500005
26;1;17.10.2011-09:29:16;2;0.05000050000500005
26;2;19.10.2011-11:25:05;12;0.05000050000500005
26;4;19.10.2011-12:41:13;11;0.05000050000500005
26;4;19.10.2011-17:37:43;19;0.05000050000500005
26;4;20.10.2011-07:29:54;2;0.05000050000500005
26;4;21.10.2011-16:57:41;0;0.05000050000500005
26;4;24.10.2011-08:35:43;22;0.05000050000500005
26;4;27.10.2011-12:09:53;2;0.05000050000500005
26;4;28.10.2011-05:50:44;0;0.05000050000500005
26;2;28.10.2011-07:50:08;12;0.05000050000500005
26;4;28.10.2011-09:54:32;8;0.05000050000500005
26;4;28.10.2011-10:35:25;18;0.05000050000500005
26;2;31.10.2011-08:38:48;12;0.05000050000500005
26;2;31.10.2011-10:18:09;12;0.05000050000500005
26;4;31.10.2011-14:36:47;0;0.05000050000500005
26;4;31.10.2011-19:37:23;0;0.05000050000500005
26;4;01.11.2011-13:19:14;27;0.05000050000500005
26;4;01.11.2011-14:13:12;27;0.05000050000500005
26;4;03.11.2011-07:38:04;2;0.05000050000500005
26;4;03.11.2011-15:28:08;27;0.05000050000500005
26;4;03.11.2011-16:15:31;18;0.05000050000500005
26;4;05.11.2011-10:18:12;18;0.05000050000500005
26;4;05.11.2011-13:46:22;0;0.05000050000500005
26;4;07.11.2011-08:33:11;4;0.05000050000500005
26;4;07.11.2011-13:39:22;0;0.05000050000500005
26;4;07.11.2011-14:09:55;0;0.05000050000500005
26;4;08.11.2011-19:37:59;30;0.05000050000500005
26;4;10.11.2011-10:20:04;2;0.05000050000500005
26;4;11.11.2011-08:30:59;2;0.05000050000500005
26;2;11.11.2011-09:25:50;12;0.05000050000500005
