case;event;time;Owner First Name;Involved ST Function Div;Involved Org line 3
0;0;31.03.2010-14:59:42;0;0;0
0;0;31.03.2010-15:00:56;0;0;0
0;1;31.03.2010-15:45:48;0;1;0
0;0;06.04.2010-14:44:07;1;1;0
0;1;06.04.2010-14:44:38;1;0;0
0;0;06.04.2010-14:44:47;1;1;0
0;2;06.04.2010-14:44:51;1;1;0
0;1;06.04.2010-14:45:07;1;0;0
0;0;08.04.2010-10:52:23;2;0;0
0;1;08.04.2010-10:53:35;2;1;0
0;0;20.04.2010-09:07:11;1;1;0
0;3;20.04.2010-09:07:19;1;1;0
0;0;11.04.2012-15:11:17;3;1;0
0;3;11.04.2012-15:11:25;3;1;0
0;0;03.05.2012-09:10:10;4;1;0
0;2;03.05.2012-09:10:12;4;1;0
0;4;10.05.2012-23:26:15;5;1;0
1;0;31.01.2011-10:12:22;6;2;1
1;0;31.01.2011-10:18:44;6;2;1
1;1;31.01.2011-10:19:05;6;2;1
1;0;31.01.2011-11:59:46;7;2;1
1;5;31.01.2011-13:37:55;7;2;1
1;1;03.02.2011-07:28:58;7;3;1
1;0;07.02.2011-11:37:33;8;3;1
1;6;07.02.2011-11:38:25;8;3;1
1;0;09.03.2011-10:08:06;9;4;1
1;6;09.03.2011-10:27:05;9;4;1
1;0;10.03.2011-10:53:10;10;4;1
1;3;10.03.2011-10:53:22;10;4;1
1;0;10.03.2011-11:17:22;11;4;1
1;5;10.03.2011-11:21:51;11;4;1
1;7;10.03.2011-13:45:27;11;4;1
1;3;14.03.2011-06:56:20;11;4;1
1;0;14.03.2011-06:58:01;9;4;1
1;7;14.03.2011-06:58:55;9;4;1
1;0;05.04.2011-15:59:52;12;4;1
1;1;05.04.2011-16:02:01;12;2;1
1;0;06.04.2011-08:32:07;7;2;1
1;3;06.04.2011-09:47:50;7;2;1
1;0;06.04.2011-09:48:33;13;2;1
1;5;06.04.2011-10:08:47;13;2;1
1;0;07.04.2011-11:36:47;13;2;1
1;7;07.04.2011-12:06:06;13;2;1
1;0;08.04.2011-12:10:59;13;2;1
1;7;08.04.2011-12:17:44;13;2;1
1;1;08.04.2011-12:20:00;13;4;1
1;0;12.04.2011-13:16:47;14;4;1
1;0;08.08.2011-13:28:38;15;2;1
1;3;12.09.2011-09:22:38;15;2;1
1;0;21.11.2011-12:52:19;15;2;1
1;6;21.11.2011-12:52:57;15;2;1
1;1;25.01.2012-14:50:41;15;4;1
1;0;25.01.2012-14:53:07;16;4;1
1;1;25.01.2012-14:54:00;16;2;1
1;0;15.05.2012-15:56:51;17;2;1
1;2;15.05.2012-15:57:39;17;2;1
1;4;22.05.2012-23:22:25;5;2;1
2;0;24.02.2011-15:17:46;18;5;1
2;0;24.02.2011-15:17:52;18;5;1
2;1;24.02.2011-15:19:35;18;6;2
2;0;28.02.2011-12:46:38;19;6;2
2;1;28.02.2011-12:47:22;19;5;1
2;0;28.02.2011-12:48:12;20;5;1
2;1;28.02.2011-12:53:24;20;6;2
2;0;04.05.2011-16:07:37;21;6;2
2;1;17.02.2012-13:49:34;22;6;2
2;0;21.03.2012-15:21:44;23;6;2
2;0;26.03.2012-09:55:35;23;6;2
2;1;26.03.2012-09:57:04;23;6;2
2;0;03.04.2012-13:29:44;21;6;2
2;7;03.04.2012-13:29:49;21;6;2
2;0;04.05.2012-06:58:20;23;6;2
2;2;04.05.2012-06:59:39;23;6;2
2;4;11.05.2012-23:21:31;5;6;2
3;0;28.02.2011-13:13:33;24;5;1
3;0;28.02.2011-13:13:40;24;5;1
3;1;28.02.2011-13:17:09;24;6;2
3;0;01.03.2011-14:59:36;19;6;2
3;1;01.03.2011-15:00:16;19;5;1
3;0;01.03.2011-17:34:25;25;5;1
3;3;01.03.2011-17:46:00;25;5;1
3;0;02.03.2011-06:42:49;24;5;1
3;1;02.03.2011-06:44:11;24;6;2
3;0;04.05.2011-16:08:55;21;6;2
3;1;13.03.2012-09:53:43;26;6;2
3;0;13.03.2012-10:11:24;23;6;2
3;1;13.03.2012-10:27:20;23;6;2
3;0;03.04.2012-13:59:27;21;6;2
3;6;04.04.2012-13:53:31;21;6;2
3;0;04.04.2012-13:54:40;21;6;2
3;0;04.05.2012-06:55:03;23;6;2
3;2;04.05.2012-06:57:02;23;6;2
3;4;11.05.2012-23:21:30;5;6;2
4;0;07.03.2011-09:42:08;27;5;0
4;0;07.03.2011-09:44:43;27;5;0
4;0;07.03.2011-09:51:59;27;5;0
4;1;07.03.2011-09:52:51;27;6;2
4;0;07.03.2011-10:48:31;19;6;2
4;1;07.03.2011-10:55:20;19;5;0
4;0;07.03.2011-11:03:37;27;5;0
4;5;07.03.2011-11:04:35;27;5;0
4;0;07.03.2011-12:22:56;27;5;0
4;1;07.03.2011-12:24:38;27;6;2
4;0;07.03.2011-13:13:15;19;6;2
4;1;07.03.2011-13:13:58;19;5;0
4;0;08.03.2011-05:53:06;27;5;0
4;1;08.03.2011-05:55:54;27;6;2
4;0;08.03.2011-08:16:24;19;6;2
4;1;08.03.2011-08:18:18;19;5;0
4;0;08.03.2011-08:20:32;27;5;0
4;5;08.03.2011-08:22:46;27;5;0
4;0;09.03.2011-06:16:14;27;5;0
4;1;09.03.2011-06:17:16;27;6;2
4;0;09.03.2011-16:03:41;19;6;2
4;1;09.03.2011-16:05:12;19;5;0
4;0;10.03.2011-11:29:05;27;5;0
4;5;10.03.2011-11:47:33;27;5;0
4;0;14.03.2011-09:19:53;27;5;0
4;3;14.03.2011-09:28:30;27;5;0
4;0;14.03.2011-09:28:35;27;5;0
4;1;14.03.2011-09:29:13;27;6;2
4;0;14.03.2011-09:30:27;27;5;0
4;1;14.03.2011-09:37:19;27;6;2
4;0;15.03.2011-09:41:17;19;6;2
4;1;15.03.2011-09:53:36;19;5;0
4;0;15.03.2011-10:00:18;27;5;0
4;1;15.03.2011-10:12:52;27;6;2
4;0;15.03.2011-10:21:49;19;6;2
4;1;15.03.2011-10:23:58;19;5;0
4;0;15.03.2011-10:27:28;27;5;0
4;5;15.03.2011-10:33:30;27;5;0
