case;event;time;event org:resource;case Document Type;case GR-Based Inv. Verif.
0;0;01.02.2018 13:53:00;0;0;0
0;1;01.02.2018 14:53:00;0;0;0
0;2;01.02.2018 14:53:00;0;0;0
0;3;01.02.2018 14:53:00;0;0;0
0;4;01.02.2018 14:53:00;0;0;0
0;5;01.02.2018 14:53:00;0;0;0
0;6;01.02.2018 14:53:00;0;0;0
0;7;01.02.2018 14:53:00;1;0;0
0;8;01.02.2018 23:59:00;2;0;0
0;9;03.06.2018 07:44:00;1;0;0
0;10;03.06.2018 08:53:00;3;0;0
0;11;29.03.2018 15:06:00;4;0;0
1;0;01.03.2018 09:49:00;0;0;1
1;2;01.03.2018 10:49:00;0;0;1
1;3;01.03.2018 10:49:00;0;0;1
1;6;01.03.2018 10:49:00;0;0;1
1;5;01.03.2018 10:49:00;0;0;1
1;1;01.03.2018 10:49:00;0;0;1
1;7;01.03.2018 10:49:00;1;0;1
1;4;01.03.2018 10:49:00;0;0;1
1;8;01.10.2018 23:59:00;2;0;1
1;9;16.01.2018 13:09:00;1;0;1
1;12;16.01.2018 13:09:00;2;0;1
1;10;16.01.2018 15:44:00;5;0;1
1;11;03.08.2018 13:21:00;6;0;1
1;13;17.01.2019 11:58:00;7;0;1
1;5;17.01.2019 11:58:00;7;0;1
2;0;01.04.2018 14:17:00;0;0;1
2;4;01.04.2018 15:17:00;0;0;1
2;2;01.04.2018 15:17:00;0;0;1
2;5;01.04.2018 15:17:00;0;0;1
2;6;01.04.2018 15:17:00;0;0;1
2;3;01.04.2018 15:17:00;0;0;1
2;7;01.04.2018 15:17:00;1;0;1
2;1;01.04.2018 15:17:00;0;0;1
2;9;02.06.2018 15:53:00;1;0;1
2;12;02.06.2018 15:53:00;2;0;1
2;8;02.06.2018 23:59:00;2;0;1
2;14;02.08.2018 11:19:00;1;0;1
2;9;16.08.2018 12:20:00;1;0;1
2;12;16.08.2018 12:20:00;2;0;1
2;10;16.08.2018 12:41:00;0;0;1
2;11;16.08.2018 15:03:00;4;0;1
2;5;17.01.2019 11:59:00;7;0;1
2;13;17.01.2019 11:59:00;7;0;1
3;0;01.08.2018 07:21:00;0;0;0
3;1;01.08.2018 08:21:00;0;0;0
3;5;01.08.2018 08:21:00;0;0;0
3;7;01.08.2018 08:21:00;1;0;0
3;2;01.08.2018 08:21:00;0;0;0
3;4;01.08.2018 08:21:00;0;0;0
3;3;01.08.2018 08:21:00;0;0;0
3;6;01.08.2018 08:21:00;0;0;0
3;8;01.08.2018 23:59:00;2;0;0
3;9;01.12.2018 14:14:00;1;0;0
3;10;02.12.2018 16:58:00;3;0;0
3;11;03.08.2018 13:21:00;6;0;0
4;0;01.08.2018 07:21:00;0;0;0
4;1;01.08.2018 08:21:00;0;0;0
4;6;01.08.2018 08:21:00;0;0;0
4;5;01.08.2018 08:21:00;0;0;0
4;4;01.08.2018 08:21:00;0;0;0
4;2;01.08.2018 08:21:00;0;0;0
4;3;01.08.2018 08:21:00;0;0;0
4;7;01.08.2018 08:21:00;1;0;0
4;8;01.08.2018 23:59:00;2;0;0
4;9;01.12.2018 14:14:00;1;0;0
4;10;02.12.2018 16:58:00;3;0;0
4;11;03.08.2018 13:21:00;6;0;0
5;0;01.08.2018 07:21:00;0;0;0
5;3;01.08.2018 08:21:00;0;0;0
5;2;01.08.2018 08:21:00;0;0;0
5;7;01.08.2018 08:21:00;1;0;0
5;1;01.08.2018 08:21:00;0;0;0
5;6;01.08.2018 08:21:00;0;0;0
5;5;01.08.2018 08:21:00;0;0;0
5;4;01.08.2018 08:21:00;0;0;0
5;8;01.08.2018 23:59:00;2;0;0
5;9;01.12.2018 14:14:00;1;0;0
5;10;02.12.2018 16:58:00;3;0;0
5;11;03.08.2018 13:21:00;6;0;0
6;0;01.08.2018 07:21:00;0;0;0
6;5;01.08.2018 08:21:00;0;0;0
6;6;01.08.2018 08:21:00;0;0;0
6;2;01.08.2018 08:21:00;0;0;0
6;1;01.08.2018 08:21:00;0;0;0
6;7;01.08.2018 08:21:00;1;0;0
6;3;01.08.2018 08:21:00;0;0;0
6;4;01.08.2018 08:21:00;0;0;0
6;8;01.08.2018 23:59:00;2;0;0
6;9;01.12.2018 14:13:00;1;0;0
6;10;03.05.2018 16:30:00;0;0;0
6;11;29.03.2018 15:06:00;4;0;0
7;0;01.08.2018 10:08:00;0;0;0
7;2;01.08.2018 11:08:00;0;0;0
7;3;01.08.2018 11:08:00;0;0;0
7;4;01.08.2018 11:08:00;0;0;0
7;5;01.08.2018 11:09:00;0;0;0
7;7;01.08.2018 11:09:00;1;0;0
7;1;01.08.2018 11:09:00;0;0;0
7;6;01.08.2018 11:09:00;0;0;0
7;15;01.08.2018 23:59:00;2;0;0
7;8;01.08.2018 23:59:00;2;0;0
7;9;19.01.2018 09:09:00;1;0;0
7;10;04.03.2018 06:26:00;8;0;0
7;11;04.05.2018 15:51:00;4;0;0
7;16;08.02.2018 09:15:00;9;0;0
7;10;08.02.2018 09:17:00;9;0;0
7;11;08.02.2018 09:19:00;9;0;0
8;0;01.08.2018 10:08:00;0;0;1
8;3;01.08.2018 11:08:00;0;0;1
8;2;01.08.2018 11:08:00;0;0;1
8;4;01.08.2018 11:08:00;0;0;1
8;7;01.08.2018 11:09:00;1;0;1
8;5;01.08.2018 11:09:00;0;0;1
8;1;01.08.2018 11:09:00;0;0;1
8;6;01.08.2018 11:09:00;0;0;1
9;0;01.08.2018 11:33:00;0;0;1
9;2;01.08.2018 12:33:00;0;0;1
9;4;01.08.2018 12:33:00;0;0;1
9;3;01.08.2018 12:33:00;0;0;1
9;5;01.08.2018 12:33:00;0;0;1
9;6;01.08.2018 12:33:00;0;0;1
