case;event;time;case Document Type;case GR-Based Inv. Verif.;event org:resource
0;0;02.01.2018-14:53:00;0;0;0
0;1;06.03.2018-07:44:00;0;0;0
0;2;06.03.2018-08:53:00;0;0;1
0;3;29.03.2018-15:06:00;0;0;2
1;0;03.01.2018-10:49:00;0;1;0
1;1;16.01.2018-13:09:00;0;1;0
1;2;16.01.2018-15:44:00;0;1;3
1;3;08.03.2018-13:21:00;0;1;4
1;4;17.01.2019-11:58:00;0;1;5
1;5;17.01.2019-11:58:00;0;1;5
2;0;04.01.2018-15:17:00;0;1;0
2;1;06.02.2018-15:53:00;0;1;0
2;6;08.02.2018-11:19:00;0;1;0
2;1;16.08.2018-12:20:00;0;1;0
2;3;16.08.2018-15:03:00;0;1;2
2;5;17.01.2019-11:59:00;0;1;5
2;4;17.01.2019-11:59:00;0;1;5
3;0;08.01.2018-08:21:00;0;0;0
3;1;12.01.2018-14:14:00;0;0;0
3;2;12.02.2018-16:58:00;0;0;1
3;3;08.03.2018-13:21:00;0;0;4
4;0;08.01.2018-08:21:00;0;0;0
4;1;12.01.2018-14:14:00;0;0;0
4;2;12.02.2018-16:58:00;0;0;1
4;3;08.03.2018-13:21:00;0;0;4
5;0;08.01.2018-08:21:00;0;0;0
5;1;12.01.2018-14:14:00;0;0;0
5;2;12.02.2018-16:58:00;0;0;1
5;3;08.03.2018-13:21:00;0;0;4
6;0;08.01.2018-08:21:00;0;0;0
6;1;12.01.2018-14:13:00;0;0;0
6;3;29.03.2018-15:06:00;0;0;2
7;0;08.01.2018-11:09:00;0;0;0
7;1;19.01.2018-09:09:00;0;0;0
7;2;03.04.2018-06:26:00;0;0;6
7;3;05.04.2018-15:51:00;0;0;2
7;7;02.08.2018-09:15:00;0;0;7
7;2;02.08.2018-09:17:00;0;0;7
7;3;02.08.2018-09:19:00;0;0;7
8;0;08.01.2018-11:09:00;0;1;0
9;0;08.01.2018-12:33:00;0;1;0
9;1;09.01.2018-10:04:00;0;1;0
9;2;09.01.2018-12:59:00;0;1;7
9;3;23.02.2018-12:14:00;0;1;2
9;5;17.01.2019-11:59:00;0;1;5
9;8;17.01.2019-11:59:00;0;1;0
10;0;08.01.2018-14:12:00;0;0;0
10;2;17.01.2018-09:11:00;0;0;8
10;1;21.02.2018-13:53:00;0;0;0
10;9;21.02.2018-13:55:00;0;0;6
10;3;08.03.2018-13:22:00;0;0;4
11;0;08.01.2018-16:36:00;0;1;0
11;1;15.01.2018-12:53:00;0;1;0
11;3;22.02.2018-16:18:00;0;1;2
12;0;09.01.2018-14:14:00;0;1;0
12;1;08.03.2018-08:27:00;0;1;0
12;2;09.03.2018-16:47:00;0;1;1
12;3;15.03.2018-14:13:00;0;1;4
13;0;09.01.2018-16:30:00;0;1;0
