case;event_0;event_1;event_2;event_3;time;org:resource_Event_0;org:resource_Event_1;org:resource_Event_2;org:resource_Event_3;org:resource_Event_4;org:resource_Event_5;org:resource_Event_6;AMOUNT_REQ_Trace
0;0;0;0;1;0.0;0;0;0;0;0;0;1;0.2000020000200002
0;0;0;1;0;0.0;0;0;0;0;0;0;1;0.2000020000200002
0;0;0;1;0;0.0;0;0;0;0;0;1;0;0.2000020000200002
0;0;0;1;0;0.0;0;0;0;0;0;1;1;0.2000020000200002
0;0;0;1;1;0.0;0;0;0;0;1;0;0;0.2000020000200002
1;0;0;0;1;0.0;0;0;0;0;0;0;1;0.05000050000500005
1;0;0;0;1;0.0;0;0;0;0;0;0;1;0.05000050000500005
1;0;0;1;0;0.0;0;0;0;0;0;0;1;0.05000050000500005
1;0;0;1;0;0.0;0;0;0;0;0;0;1;0.05000050000500005
1;0;0;1;0;0.0;0;0;0;0;0;0;1;0.05000050000500005
1;0;0;1;0;0.0;0;0;0;0;0;1;1;0.05000050000500005
1;0;0;1;1;0.0;0;0;0;0;1;0;1;0.05000050000500005
1;0;0;1;1;0.0;0;0;0;0;1;0;1;0.05000050000500005
1;0;0;1;1;0.0;0;0;0;0;1;0;1;0.05000050000500005
2;0;0;0;1;0.0;0;0;0;0;1;1;0;0.13500135001350014
2;0;0;0;1;0.0;0;0;0;0;1;1;0;0.13500135001350014
3;0;1;0;0;0.0;0;0;0;0;1;1;0;0.18000180001800015
3;0;0;0;1;0.0;0;0;0;0;1;1;0;0.18000180001800015
3;0;0;0;1;0.0;0;0;0;0;1;1;0;0.18000180001800015
3;0;0;0;1;0.0;0;0;0;0;0;0;1;0.18000180001800015
4;0;0;0;1;0.0;0;0;0;0;1;1;0;0.11000110001100012
4;0;0;0;1;0.0;0;0;0;0;1;1;0;0.11000110001100012
4;0;0;0;1;0.0;0;0;0;1;1;1;0;0.11000110001100012
4;0;0;0;1;0.0;0;0;0;1;1;1;0;0.11000110001100012
5;0;1;0;0;0.0;0;0;0;0;1;1;0;0.3000030000300003
5;0;0;0;1;0.0;0;0;0;1;1;1;1;0.3000030000300003
5;0;0;0;1;0.0;0;0;1;0;0;0;0;0.3000030000300003
5;0;0;0;1;0.0;0;0;1;0;0;0;0;0.3000030000300003
6;0;0;0;1;0.0;0;0;1;1;0;0;0;0.09000090000900009
6;0;0;1;0;0.0;0;0;1;1;0;0;0;0.09000090000900009
6;0;0;1;0;0.0;0;0;1;1;0;0;0;0.09000090000900009
6;0;0;1;0;0.0;0;0;0;0;0;0;1;0.09000090000900009
6;0;0;1;0;0.0;0;0;0;0;0;0;1;0.09000090000900009
6;0;0;1;1;0.0;0;0;0;1;1;0;1;0.09000090000900009
6;0;1;0;1;0.0;0;0;0;0;1;1;0;0.09000090000900009
6;0;1;0;1;0.0;0;0;0;0;1;1;0;0.09000090000900009
6;0;1;0;1;0.0;0;0;0;0;0;0;1;0.09000090000900009
6;0;1;0;1;0.0;0;0;1;1;0;0;1;0.09000090000900009
7;0;1;0;0;0.0;0;0;0;0;1;1;0;0.15000150001500015
7;0;1;0;0;0.0;0;0;1;1;0;0;0;0.15000150001500015
7;0;0;0;1;0.0;0;0;0;0;1;1;0;0.15000150001500015
7;0;0;0;1;0.0;0;0;0;0;0;0;1;0.15000150001500015
7;0;0;0;1;0.0;0;0;1;1;0;1;0;0.15000150001500015
7;0;0;0;1;0.0;0;0;1;1;0;1;0;0.15000150001500015
7;0;0;0;1;0.0;0;0;1;1;0;1;0;0.15000150001500015
7;0;0;0;1;0.0;0;0;1;1;0;1;0;0.15000150001500015
7;0;0;0;1;0.0;0;0;1;1;0;1;0;0.15000150001500015
7;0;0;0;1;0.0;0;0;1;1;0;1;0;0.15000150001500015
7;0;0;0;1;0.0;0;0;1;1;0;1;0;0.15000150001500015
7;0;0;0;1;0.0;0;0;0;0;0;0;1;0.15000150001500015
7;0;0;0;1;0.0;0;0;0;0;1;1;1;0.15000150001500015
8;0;0;0;1;0.0;0;0;0;1;1;1;1;0.15000150001500015
8;0;0;0;1;0.0;0;0;0;1;0;1;0;0.15000150001500015
8;0;0;0;1;0.0;0;0;0;1;0;1;0;0.15000150001500015
8;0;0;1;0;0.0;0;0;0;1;1;1;0;0.15000150001500015
8;0;0;1;0;0.0;0;0;1;0;0;0;1;0.15000150001500015
8;0;0;1;1;0.0;0;0;1;0;0;1;0;0.15000150001500015
8;0;1;0;1;0.0;0;0;0;0;0;0;1;0.15000150001500015
8;0;1;0;1;0.0;0;0;0;0;0;0;1;0.15000150001500015
8;0;1;0;1;0.0;0;0;0;0;0;0;1;0.15000150001500015
8;0;1;0;1;0.0;0;0;1;1;1;0;0;0.15000150001500015
8;0;1;0;1;0.0;0;0;0;0;0;0;1;0.15000150001500015
8;0;1;0;1;0.0;0;0;0;0;0;0;1;0.15000150001500015
8;0;0;1;1;0.0;0;0;0;0;1;0;1;0.15000150001500015
9;0;1;0;0;0.0;0;0;1;1;0;0;0;0.020000200002000017
9;0;0;0;1;0.0;0;0;0;0;0;0;1;0.020000200002000017
9;0;0;1;0;0.0;0;0;1;1;0;1;0;0.020000200002000017
10;0;1;0;0;0.0;0;0;1;1;0;0;0;0.05000050000500005
10;0;0;0;1;0.0;0;0;1;1;0;0;0;0.05000050000500005
10;0;0;0;1;0.0;0;0;1;1;0;0;0;0.05000050000500005
10;0;0;0;1;0.0;0;0;0;0;0;0;1;0.05000050000500005
10;0;0;0;1;0.0;0;0;0;1;1;1;1;0.05000050000500005
10;0;0;0;1;0.0;0;0;0;1;0;0;0;0.05000050000500005
10;0;0;1;0;0.0;0;0;0;1;0;0;0;0.05000050000500005
10;0;0;1;0;0.0;0;0;0;1;0;0;0;0.05000050000500005
10;0;0;1;0;0.0;0;0;0;1;0;0;0;0.05000050000500005
10;0;0;1;0;0.0;0;0;1;1;1;1;0;0.05000050000500005
11;0;0;0;1;0.0;0;0;1;1;0;1;0;0.1000010000100001
11;0;0;0;1;0.0;0;0;0;0;0;0;1;0.1000010000100001
11;0;0;1;0;0.0;0;0;1;0;0;0;1;0.1000010000100001
11;0;0;1;1;0.0;0;0;1;0;0;1;0;0.1000010000100001
12;0;0;0;1;0.0;0;0;0;1;1;1;1;0.32000320003200033
12;0;0;1;0;0.0;0;0;0;0;0;0;1;0.32000320003200033
12;0;0;1;0;0.0;0;0;0;1;0;0;0;0.32000320003200033
12;0;0;1;0;0.0;0;0;0;0;0;1;1;0.32000320003200033
12;0;0;1;1;0.0;0;0;1;0;1;1;0;0.32000320003200033
13;0;0;0;1;0.0;0;0;0;1;1;1;1;0.020000200002000017
13;0;0;0;1;0.0;0;0;0;1;0;1;0;0.020000200002000017
13;0;0;0;1;0.0;0;0;1;0;0;0;0;0.020000200002000017
13;0;0;0;1;0.0;0;0;0;0;0;0;1;0.020000200002000017
13;0;0;0;1;0.0;0;0;1;1;1;0;0;0.020000200002000017
13;0;0;0;1;0.0;0;0;1;0;1;0;0;0.020000200002000017
13;0;0;0;1;0.0;0;0;1;0;0;0;0;0.020000200002000017
13;0;0;0;1;0.0;0;0;0;0;0;0;1;0.020000200002000017
13;0;0;0;1;0.0;0;0;0;0;0;0;1;0.020000200002000017
13;0;0;0;1;0.0;0;0;0;1;0;1;1;0.020000200002000017
13;0;0;0;1;0.0;0;0;0;0;0;0;1;0.020000200002000017
13;0;0;0;1;0.0;0;0;1;0;0;0;0;0.020000200002000017
14;0;0;0;1;0.0;0;0;0;0;0;0;1;0.1000010000100001
14;0;0;0;1;0.0;0;0;0;0;0;1;0;0.1000010000100001
15;0;0;0;1;0.0;0;0;0;0;0;0;1;0.05000050000500005
15;0;0;1;0;0.0;0;0;0;0;0;0;1;0.05000050000500005
15;0;0;1;0;0.0;0;0;0;0;0;0;1;0.05000050000500005
15;0;0;1;0;0.0;0;0;0;0;0;0;1;0.05000050000500005
15;0;0;1;0;0.0;0;0;0;0;0;0;1;0.05000050000500005
15;0;0;1;0;0.0;0;0;0;0;1;1;1;0.05000050000500005
15;0;0;1;0;0.0;0;0;0;1;0;1;1;0.05000050000500005
15;0;0;1;0;0.0;0;0;0;0;0;0;1;0.05000050000500005
15;0;0;1;0;0.0;0;0;0;1;0;0;0;0.05000050000500005
16;0;0;0;1;0.0;0;0;0;0;0;0;1;0.05000050000500005
16;0;0;1;0;0.0;0;0;0;0;0;0;1;0.05000050000500005
16;0;0;1;0;0.0;0;0;0;0;0;0;1;0.05000050000500005
16;0;0;1;0;0.0;0;1;0;0;0;0;0;0.05000050000500005
16;0;0;1;1;0.0;0;0;1;0;1;1;0;0.05000050000500005
16;0;0;1;1;0.0;0;0;0;1;1;0;1;0.05000050000500005
17;0;0;0;1;0.0;0;0;1;0;0;0;0;0.06000060000600006
